trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.7, 'e': 0.5949999999999996}",20,0,20.55254658022246,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.5899999999999996}",35,0,-102.32106703900652,"{0: 24, 1: 4, 2: 3, 3: 4, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.5849999999999996}",20,9,-70.31266000904182,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.5799999999999996}",20,5,-42.0761691296509,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.5749999999999996}",35,9,15.725165175829822,"{0: 22, 1: 4, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.5699999999999996}",25,0,-9.09197992655962,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.7, 'e': 0.5649999999999996}",20,16,6.739381380027078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.5599999999999996}",20,0,-0.9515806921885079,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.5549999999999996}",25,15,6.655716413135466,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.5499999999999996}",20,0,-114.07444325697386,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
91,False,"{'a': 0.7, 'e': 0.5449999999999996}",20,0,-32.69633604070949,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.5399999999999996}",20,0,-56.65699527893457,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
